raw_duration_ms,norm_by_session_mean,relative_ratio,is_tap,label
69.999,0.6093,1.2302,1,0
219.591,1.6936,3.3414,1,1
654.179,4.3905,8.3422,0,4
197.69,1.6826,0.4125,1,1
149.479,1.5711,3.9189,1,1
50.787,1.0,1.0,1,0
62.897,0.5319,1.0513,0,2
50.461,0.5838,0.4201,0,2
197.071,1.2998,2.6821,1,1
46.303,0.4476,0.9716,0,2
392.034,1.8182,3.1063,0,3
853.797,3.4155,9.8028,0,4
56.423,0.3278,0.6772,0,2
39.973,0.4272,0.8201,1,0
149.401,2.0567,1.0357,0,3
273.294,1.6883,3.5706,0,3
56.886,0.5759,1.1262,0,2
121.816,0.5322,0.8173,0,2
64.129,0.5569,0.9527,0,2
54.321,0.4555,0.8725,1,0
68.874,0.609,1.1181,1,0
102.544,0.4033,0.7618,0,2
85.096,0.5753,1.0214,1,0
69.28,0.4399,0.2459,0,2
82.532,0.5524,1.0844,0,2
57.201,0.6111,0.4487,0,2
237.59,1.5702,2.4227,1,1
117.082,0.5507,0.342,1,0
56.676,0.4976,0.3312,0,2
51.987,0.4347,0.789,1,0
100.818,0.4759,0.7713,1,0
84.656,0.556,0.2087,1,0
195.428,0.8993,0.4606,0,3
436.576,2.0323,1.3527,1,1
64.218,0.5395,1.3349,0,2
316.61,3.2827,5.9274,0,4
192.505,1.7062,0.998,1,1
226.243,1.4678,2.9662,1,1
155.446,0.73,0.3999,0,2
46.79,0.6036,0.2895,0,2
180.599,1.3323,2.5958,1,1
26.1,0.249,0.1834,0,2
825.817,2.9995,2.2028,0,4
340.419,1.4985,0.8394,0,3
134.432,0.6154,1.3293,1,0
152.976,1.712,0.8966,0,3
74.807,0.6878,0.435,1,0
195.186,2.1327,3.7867,1,1
413.15,3.5291,6.5302,0,4
42.17,0.4472,0.2701,1,0
49.361,0.4704,0.2994,1,0
192.615,1.6763,3.255,0,3
49.794,0.4277,0.3504,0,2
111.225,0.4971,1.1269,1,0
375.03,1.5087,1.4618,1,1
100.86,0.6358,1.2594,0,2
79.821,0.7262,1.3494,1,0
406.427,1.8739,4.2582,1,1
145.953,1.3184,1.4132,0,3
403.138,3.3486,2.1073,0,4
69.313,0.7916,1.5659,0,2
52.074,0.4631,0.2662,1,0
62.411,0.512,1.2245,1,0
249.915,1.1026,2.1637,1,1
219.117,1.6482,1.4246,0,3
57.046,0.6571,1.3918,1,0
221.084,2.2106,4.1422,1,1
650.258,2.5585,1.8929,0,4
138.587,0.6268,1.1777,1,0
50.137,0.4934,0.9448,1,0
154.856,1.3158,0.4382,1,1
48.491,0.3738,0.2552,0,2
380.338,1.6133,2.6666,1,1
125.48,0.8795,0.35,1,0
50.199,0.4817,0.129,1,0
129.02,0.5295,0.3978,1,0
168.838,1.554,3.505,1,1
342.805,1.5356,2.8728,0,3
334.445,3.3048,8.0441,0,4
167.634,1.3431,3.2374,1,1
89.888,0.5822,0.3531,0,2
54.972,0.5503,1.6914,1,0
127.328,0.5905,1.6035,1,0
365.808,2.9709,8.3627,0,4
85.962,0.6265,0.4546,0,2
47.559,0.5567,1.2197,0,2
53.863,0.5546,0.4,1,0
225.359,1.3575,0.8234,0,3
85.775,0.5527,1.1025,1,0
124.179,0.5577,0.4078,1,0
333.729,1.4017,0.8775,0,3
90.552,0.5607,1.5448,1,0
72.514,0.5792,1.0871,0,2
191.33,1.7152,1.4067,1,1
182.779,1.1871,0.7474,1,1
61.717,0.5294,1.2392,1,0
109.268,1.2564,2.462,0,3
61.969,0.5963,1.1511,1,0
465.167,3.5772,2.6353,0,4
192.353,1.6447,3.4918,1,1
135.601,1.355,2.7186,1,1
47.741,0.417,0.6997,0,2
119.256,0.4611,1.0254,1,0
252.116,1.7219,3.9746,1,1
242.302,2.1614,5.3419,1,1
132.363,1.595,0.3289,1,1
296.735,1.3897,1.7223,0,3
117.762,0.4526,0.3999,1,0
147.601,1.5437,4.0851,0,3
144.257,2.1969,2.6626,1,1
295.665,3.0196,7.097,0,4
152.785,1.6498,3.3834,1,1
112.268,0.5613,0.4844,0,2
226.621,1.566,2.5716,1,1
166.85,1.5333,0.9255,0,3
156.616,1.6673,0.4645,1,1
270.27,1.4639,3.9313,1,1
371.574,1.6145,3.4992,1,1
383.812,4.1821,7.9562,0,4
55.48,0.5369,0.3248,0,2
413.739,1.6656,1.3167,0,3
123.349,0.5068,0.326,1,0
44.011,0.6209,0.8377,1,0
121.524,0.4897,0.3644,0,2
115.056,0.4734,0.3134,0,2
108.157,0.3574,0.2893,0,2
64.222,0.4227,0.6624,1,0
174.285,1.7312,1.0385,0,3
166.167,1.4644,1.1114,0,3
108.688,0.5455,0.8283,1,0
143.057,0.6529,1.1604,0,2
84.314,0.5377,0.7407,1,0
226.084,1.4431,3.0728,0,3
131.891,1.3671,2.3337,1,1
44.979,0.4758,0.8615,1,0
53.483,0.5827,0.3755,0,2
84.35,0.6138,0.9995,1,0
160.283,0.6775,0.9991,0,2
63.433,0.5772,1.1514,0,2
68.051,0.4147,0.2826,1,0
79.11,0.4252,0.297,0,2
147.582,1.0844,0.8172,0,3
83.601,0.5229,0.9929,1,0
131.476,0.4977,0.2977,1,0
124.997,1.1567,1.1936,0,3
121.78,0.515,1.131,0,2
44.91,0.4855,0.9776,0,2
338.693,1.2554,0.4316,1,1
44.245,0.4597,0.8848,0,2
139.807,0.569,1.2629,1,0
151.175,1.5819,1.1617,0,3
142.125,1.2013,0.4078,1,1
244.135,1.5199,3.0131,1,1
50.178,0.7713,0.3275,0,2
39.454,0.3318,0.1913,1,0
74.982,0.7104,1.2518,1,0
127.146,1.2512,2.751,1,1
85.562,0.6655,1.0984,1,1
264.794,1.0,1.0,1,1
95.933,0.5152,0.4977,0,2
110.139,0.9882,2.0392,1,1
110.867,0.4616,0.347,1,0
385.727,1.6813,2.7756,0,3
59.222,0.4948,1.0102,0,2
209.291,1.7135,3.4906,1,1
222.084,1.6558,3.7409,1,1
92.862,0.6203,0.4184,1,0
213.437,1.7758,0.5423,1,1
418.813,1.8233,1.1828,0,3
178.908,1.4627,3.7206,1,1
66.831,0.3987,1.1397,0,2
136.875,0.6325,1.4264,0,2
66.309,0.4987,0.3102,0,2
38.471,0.3668,0.814,1,0
47.912,0.7104,0.9653,0,2
499.188,4.0365,9.5222,0,4
66.903,0.6806,1.1017,1,0
161.93,1.3471,2.4067,1,1
370.881,3.7089,2.5434,0,4
95.724,0.3809,0.9351,0,2
48.075,0.4586,0.7724,1,0
91.432,0.3953,0.6868,0,2
243.072,1.603,2.9327,1,1
333.495,2.6951,6.2964,0,4
83.758,0.6491,1.0105,1,0
57.853,0.4955,0.3716,0,2
49.717,0.4483,1.085,0,2
304.12,3.6699,5.8693,0,4
94.23,0.4746,0.3727,0,2
51.327,0.4664,0.8489,0,2
151.595,1.483,3.5857,0,3
130.009,0.6262,1.1165,1,0
36.16,0.4407,0.6935,1,0
119.552,1.2804,2.424,0,3
54.478,0.4466,0.8079,0,2
57.361,0.5075,0.8849,1,0
53.822,0.7262,1.0565,1,0
143.879,1.5448,3.652,0,3
81.026,0.7154,0.9843,0,2
70.915,0.4281,0.2436,0,2
73.776,0.4422,0.324,0,2
47.853,0.4683,1.1028,1,0
34.997,0.3541,0.1,1,0
128.945,0.5256,0.3515,1,0
191.426,1.632,2.8892,1,1
95.666,0.5963,1.262,0,2
75.719,0.4638,0.3156,1,0
47.012,0.5057,0.2948,0,2
147.109,1.3747,0.7561,1,1
209.231,1.0,1.0,1,1
183.98,1.491,3.2034,1,1
61.443,0.5708,1.1091,1,0
54.013,0.4593,1.1545,1,0
130.071,1.3119,0.9125,0,3
79.522,0.45,0.323,0,2
291.29,1.1928,0.8436,1,1
50.511,0.4033,0.1338,1,0
62.929,0.524,0.3666,0,2
173.831,1.4436,2.551,0,3
62.502,0.4527,0.3407,0,2
37.405,0.3997,0.8307,1,0
48.089,0.4945,0.3352,1,0
184.488,1.1539,0.7042,0,3
65.321,0.5218,1.2236,0,2
81.977,0.5404,0.1576,1,0
68.052,0.5599,0.3187,1,0
361.017,1.4574,3.3812,1,1
536.635,2.186,1.3785,0,3
54.094,0.6266,1.0407,1,0
62.032,0.3001,0.0941,1,0
66.092,0.4144,0.241,1,0
110.477,0.4528,1.1089,1,0
47.69,0.411,0.7606,1,0
48.877,0.5424,1.152,0,2
84.459,0.5726,0.8218,1,0
41.674,0.4985,1.0478,1,0
56.273,0.4658,0.8357,0,2
114.826,0.4659,1.2714,0,2
631.588,2.7215,1.8505,0,4
129.872,0.5827,1.1998,1,0
57.979,0.6309,0.4259,0,2
97.729,0.7025,1.0968,0,2
207.201,1.3853,3.4634,0,3
157.956,1.7303,3.3279,1,1
89.349,0.6003,1.1658,1,0
63.388,0.752,0.8495,1,0
67.001,0.7699,1.0317,1,0
342.858,1.5634,5.0131,1,1
53.237,0.5564,1.0226,1,0
46.736,0.4722,0.9884,0,2
59.114,0.515,0.9923,0,2
401.779,1.4027,3.3375,1,1
104.647,0.4239,0.7214,1,0
63.968,0.5842,0.3614,1,0
253.868,1.9765,3.6835,1,1
155.312,1.8118,3.9822,1,1
117.882,0.57,0.8244,1,0
270.523,1.6516,3.3756,0,3
141.228,0.6284,1.208,0,2
122.849,0.635,0.3265,1,0
166.348,1.704,2.8768,0,3
40.585,0.3648,0.7907,0,2
62.379,0.5038,0.3201,0,2
36.565,0.4068,0.3059,1,0
132.815,1.5006,2.5908,1,1
294.794,1.2293,0.845,1,1
335.883,3.1049,9.5511,0,4
74.489,1.0,1.0,1,0
56.99,0.4642,0.7489,0,2
47.152,0.3193,0.8544,1,0
106.03,0.478,0.7725,1,0
125.42,0.5456,0.7316,0,2
254.846,1.1448,0.882,0,3
107.762,1.0572,0.8083,1,1
362.309,1.4207,2.5428,1,1
166.194,1.2854,3.4222,1,1
175.949,1.4881,0.9811,0,3
38.179,0.426,0.8898,0,2
42.278,0.4165,0.9884,1,0
142.269,1.5005,3.6974,0,3
459.219,1.9203,1.0506,0,3
172.21,1.8541,4.2452,1,1
122.842,0.4967,1.1538,1,0
123.91,0.9911,2.0006,1,1
53.519,0.4551,0.8648,0,2
85.277,0.5542,1.0287,0,2
104.373,0.754,0.9528,0,2
455.844,3.8613,2.8247,0,4
74.402,0.5005,0.327,1,0
82.64,0.5462,0.4327,0,2
320.741,2.7075,4.4476,0,4
157.112,0.6936,1.2094,0,2
381.171,1.5447,0.8801,0,3
59.511,0.578,0.9867,0,2
37.372,0.4575,0.7193,1,0
54.913,0.4137,0.7479,1,0
64.192,0.649,0.8861,1,0
250.537,1.4298,3.2139,0,3
189.775,1.4981,0.7233,1,1
137.561,1.3313,3.0012,1,1
107.229,0.9865,0.9734,0,2
55.377,0.6765,0.3292,0,2
63.936,0.754,1.5032,0,2
140.751,1.2879,2.4312,0,3
38.17,0.3821,0.2405,1,0
52.677,0.5784,0.4069,0,2
97.077,0.7323,1.1648,0,2
227.848,1.3951,0.4224,1,1
163.757,1.4814,3.1621,1,1
53.757,0.6441,1.546,0,2
85.67,0.5228,1.1721,1,0
419.333,1.6094,3.6532,0,3
148.33,1.2984,2.0196,1,1
205.847,1.2738,1.1812,1,1
61.738,0.4901,0.806,0,2
61.768,1.2606,1.6396,0,2
77.352,0.4721,0.3353,0,2
122.897,0.5189,0.8575,0,2
89.2,0.5721,1.1642,1,0
203.052,1.6752,0.9812,0,3
87.76,0.5495,1.0378,0,2
446.735,1.9007,1.4291,1,1
133.349,0.6109,0.9324,0,2
98.219,0.6242,1.1274,0,2
141.749,1.34,2.8582,0,3
147.168,1.5387,2.8905,1,1
49.782,0.5152,0.2423,0,2
57.242,0.4715,0.8556,1,0
53.257,0.5625,1.1526,0,2
539.273,3.3408,7.5662,0,4
296.761,1.154,0.3185,1,1
257.0,1.7076,2.8,1,1
60.828,0.5542,1.056,0,2
96.024,0.5828,1.1692,1,0
88.873,0.6319,1.1109,0,2
292.012,0.8966,0.305,1,1
81.964,0.5416,0.8027,0,2
149.872,0.6586,0.5333,0,2
44.653,0.4241,0.78,1,0
101.071,0.5963,1.4806,1,0
183.588,1.5058,3.3068,1,1
149.476,1.6697,1.0287,1,1
52.243,1.0555,1.1191,1,0
86.471,0.5817,1.0771,0,2
169.546,1.3149,4.3417,0,3
663.803,2.1664,4.372,0,4
1019.717,3.244,2.8744,0,4
62.288,0.4928,0.3251,0,2
52.132,0.5568,0.9864,1,0
272.861,1.8094,1.2618,1,1
513.935,4.2285,2.7151,0,4
370.644,1.4841,3.5735,1,1
55.784,0.4851,0.2584,0,2
110.269,0.3949,0.285,1,0
372.44,1.2876,1.1256,1,1
153.111,0.6611,1.1322,1,0
143.866,2.2681,4.2975,1,1
57.563,0.3631,0.7177,1,0
59.69,0.5816,0.5411,1,0
167.995,1.7869,3.0545,1,1
145.265,0.6868,0.3327,1,0
50.526,0.4035,0.7229,0,2
196.105,1.5306,1.1687,0,3
195.903,1.3132,0.9779,0,3
49.424,0.387,0.946,0,2
137.659,0.6064,0.4338,1,0
327.155,1.376,2.309,1,1
204.985,1.2264,0.4484,1,1
164.426,1.3421,0.939,0,3
27.782,0.3003,0.5414,0,2
117.408,0.5154,0.8047,1,0
68.457,0.5875,0.3805,1,0
281.752,1.782,5.1628,1,1
44.389,0.4514,0.4643,0,2
129.997,0.4984,1.0494,1,0
296.927,1.8433,0.4909,1,1
111.851,0.4609,0.3382,0,2
157.953,1.4349,2.5368,1,1
310.358,1.3767,0.7932,0,3
54.48,1.0,1.0,1,0
59.945,0.4844,0.5186,1,0
140.881,1.5586,2.636,1,1
49.556,0.4689,0.904,0,2
80.142,0.5564,0.3449,1,0
116.799,0.452,0.2455,0,2
51.713,0.4036,0.8243,0,2
56.812,0.4853,0.9378,0,2
55.672,0.5127,0.8776,1,0
55.058,0.576,0.4129,0,2
52.627,0.5518,1.1269,1,0
82.259,0.5336,0.3878,1,0
149.054,0.6491,0.4954,1,0
56.474,0.2687,0.1601,0,2
74.462,0.447,0.8237,0,2
126.802,1.3376,2.3032,1,1
76.686,0.9478,1.1056,1,0
73.625,0.4829,1.0702,0,2
268.628,1.6623,2.9927,1,1
76.455,0.5539,1.399,0,2
240.745,1.5917,3.0096,0,3
55.098,0.4955,1.3804,0,2
48.421,0.4376,0.7739,1,0
133.72,0.5239,1.1933,1,0
262.412,1.6131,1.1353,1,1
57.811,0.5563,0.9315,1,0
77.833,0.424,0.8405,0,2
410.998,1.7929,3.3668,1,1
109.31,0.4966,0.7913,1,0
107.325,0.6937,0.4301,0,2
106.245,0.4765,0.7793,1,0
238.121,1.8007,0.6585,1,1
258.939,1.6444,1.0105,0,3
187.338,1.5225,4.1496,1,1
81.687,0.618,1.1629,0,2
151.805,2.162,3.5243,1,1
317.267,1.393,2.7904,0,3
60.048,0.5065,0.925,0,2
417.176,1.812,3.6072,1,1
132.234,1.2747,3.2272,1,1
41.605,0.365,0.6386,0,2
412.312,1.8766,5.1127,0,3
227.215,1.6773,3.5669,1,1
60.374,0.5327,0.2909,0,2
148.123,1.4977,2.5417,1,1
324.669,1.4785,2.9414,1,1
49.906,0.5795,1.6297,1,0
262.218,1.6548,3.4796,0,3
67.11,0.356,0.2658,0,2
107.422,0.4522,0.2647,0,2
57.217,0.5468,1.0912,1,0
346.675,2.6147,5.6852,0,4
144.448,1.4041,2.0312,0,3
329.014,1.4391,3.0267,1,1
107.608,0.6114,0.1426,1,0
37.668,0.4278,1.1748,0,2
323.415,1.3104,0.9735,0,3
109.174,0.4796,0.9537,0,2
587.635,3.0971,2.2244,0,4
56.479,0.6396,0.3684,0,2
73.958,0.4933,0.9635,1,0
66.4,0.3943,0.8729,0,2
177.625,1.4754,3.1035,1,1
63.787,0.5734,0.3702,0,2
445.088,3.5169,9.745,0,4
55.955,0.4517,1.1284,0,2
117.85,0.514,0.8105,0,2
782.266,3.3772,6.6269,0,4
392.698,1.59,1.2648,0,3
326.557,1.0413,0.7778,1,1
236.182,1.5167,2.687,1,1
45.034,0.5984,0.7916,0,2
80.381,0.536,0.9127,1,0
58.642,0.3443,0.9474,1,0
60.697,0.4037,0.7353,0,2
123.706,0.5089,1.0659,1,0
48.885,0.5355,1.2059,0,2
202.051,1.1592,2.4139,0,3
191.173,1.6226,2.6129,1,1
45.995,0.47,0.3108,0,2
67.583,0.501,0.2695,1,0
332.013,1.2765,3.3569,1,1
670.266,3.9645,2.9359,0,4
359.774,1.4283,0.9141,0,3
284.74,1.7624,3.2213,0,3
54.886,0.6173,1.2326,1,0
75.743,0.4112,0.1462,1,0
78.615,0.4899,0.3534,0,2
54.79,0.5859,1.2051,1,0
82.969,0.5458,0.3469,0,2
113.461,0.5369,1.1503,1,0
122.628,0.4663,1.0645,1,0
56.063,0.4688,0.7616,0,2
40.906,0.426,0.8171,1,0
314.747,1.3053,2.4503,1,1
73.188,0.4028,0.7085,1,0
61.672,0.3125,0.2775,0,2
77.181,0.4924,0.3012,0,2
139.468,1.1626,2.0502,1,1
60.784,0.5098,1.0652,1,0
48.285,0.5402,1.1447,1,0
44.483,0.4632,0.3411,0,2
156.795,1.7019,3.0518,1,1
103.19,1.1421,1.975,0,3
173.112,1.6495,3.8383,1,1
130.97,1.3176,2.3913,1,1
47.557,0.4321,0.7803,1,0
154.598,1.5225,3.1207,1,1
96.325,0.8684,0.42,0,2
90.903,0.5621,0.3595,0,2
30.593,0.3269,0.2138,0,2
36.935,0.4335,0.8189,0,2
334.923,1.2024,0.7655,0,3
235.271,1.5075,2.896,0,3
184.449,1.9434,3.5885,1,1
56.645,0.6437,0.3411,0,2
194.626,1.7012,3.2398,0,3
59.124,0.4886,1.2414,1,0
408.925,1.7419,0.3844,1,1
123.293,0.548,0.3412,0,2
242.576,1.6971,0.3633,1,1
55.109,0.621,0.4603,0,2
80.049,0.3249,0.6191,1,0
136.289,0.5802,1.2623,1,0
291.138,2.4857,7.7804,0,4
117.08,1.2267,2.2427,1,1
75.36,0.6083,0.9226,1,0
48.026,0.5451,0.295,1,0
126.854,0.5253,0.9732,1,0
114.121,0.617,0.9068,1,0
63.454,0.5506,0.3852,0,2
236.476,1.4801,1.0909,0,3
88.543,0.5762,1.2597,0,2
48.317,0.4566,0.8296,1,0
73.246,0.4573,0.9899,1,0
89.798,0.5258,1.0898,0,2
117.739,0.4329,0.8058,0,2
206.887,1.6237,3.4391,0,3
392.527,1.7607,3.0986,1,1
134.234,0.642,1.2052,1,0
170.505,1.8172,1.1061,1,1
42.539,0.5119,1.1021,0,2
81.044,0.4866,0.4319,0,2
74.665,0.6118,1.0645,0,2
233.754,1.3397,0.4059,1,1
69.549,0.5807,0.2452,1,0
57.55,0.4412,0.1278,1,0
66.046,0.4975,1.2052,0,2
46.086,0.4459,0.3208,0,2
153.925,1.6595,3.1866,0,3
43.492,0.4554,0.8311,0,2
66.064,0.6223,0.767,0,2
50.124,0.5672,0.8977,1,0
704.903,4.4112,9.7638,0,4
151.651,0.6293,1.3771,0,2
79.175,0.6843,1.0804,0,2
187.219,1.6199,3.009,1,1
405.573,1.7983,0.5441,1,1
66.15,0.5439,1.0403,0,2
149.423,1.2134,2.0994,0,3
252.82,1.2546,0.468,1,1
379.424,1.8358,0.8475,1,1
152.498,1.8006,3.4298,1,1
330.905,1.2423,0.9645,0,3
57.915,0.4904,0.8677,0,2
752.797,3.0139,5.8122,0,4
106.935,0.4336,0.3179,0,2
220.937,1.3842,3.7272,1,1
193.823,1.8934,3.4407,1,1
149.085,1.0,1.0,1,1
162.223,0.6729,0.5307,1,0
51.607,0.6222,0.8617,1,0
77.499,0.4679,0.1317,1,0
282.069,3.2034,1.8764,0,4
90.762,0.5379,0.325,0,2
132.497,1.3863,3.0336,1,1
48.107,0.4017,0.3113,1,0
136.608,0.5449,0.3634,0,2
96.791,0.8346,1.4721,0,2
40.339,0.5155,0.6431,0,2
284.492,3.3129,5.2902,0,4
459.282,2.9571,2.1389,0,4
96.865,0.7165,1.5564,1,0
81.239,0.5244,1.0348,1,0
415.974,2.9815,2.6553,0,4
244.706,2.1202,1.2467,0,3
93.101,0.4416,0.7193,1,0
47.688,0.5136,1.09,1,0
56.379,0.6295,1.3967,1,0
139.313,1.551,0.9407,0,3
156.017,0.6894,0.4985,1,0
68.558,0.3763,0.8791,0,2
171.876,1.5265,2.9093,0,3
107.728,1.2261,0.7027,0,3
50.193,0.4015,0.8089,1,0
54.536,0.5401,0.2504,0,2
389.466,1.7105,3.054,0,3
46.96,0.5399,0.3588,0,2
436.885,3.2523,2.1173,0,4
41.107,0.369,0.633,1,0
49.632,0.3563,1.0514,1,0
140.749,1.1611,0.7256,0,3
67.897,0.6286,1.1652,1,0
51.908,0.6493,1.5394,1,0
238.933,1.2157,3.3786,1,1
77.415,0.7019,2.0305,0,2
43.758,0.3372,0.6941,0,2
48.037,0.4644,0.9835,0,2
34.176,0.3862,0.6424,1,0
59.39,0.5024,0.8783,1,0
442.047,1.7922,5.2579,0,3
61.878,0.6355,0.3138,0,2
81.123,0.5264,0.9003,0,2
29.125,0.3008,0.5487,1,0
55.488,0.5,0.2901,0,2
74.93,0.4682,0.8432,0,2
144.702,1.5655,0.6443,1,1
165.035,1.7099,2.9156,1,1
59.07,0.5033,0.3258,1,0
264.338,1.9729,3.9753,0,3
49.97,0.5775,0.1525,1,0
62.55,0.501,0.3502,0,2
86.905,0.3248,0.2085,0,2
568.075,4.0765,7.5782,0,4
41.96,0.3921,0.7127,0,2
60.569,0.3809,0.8616,1,0
292.568,1.1526,2.782,1,1
83.214,0.3432,0.6614,1,0
167.411,1.1875,0.9294,1,1
46.508,0.4224,0.3029,0,2
44.99,0.392,0.3425,0,2
88.539,0.6898,0.3694,0,2
125.805,1.0942,0.5885,1,1
131.611,1.1297,0.6904,0,3
131.996,1.5157,3.1791,0,3
131.55,1.5257,2.827,1,1
49.995,0.3963,0.659,1,0
84.219,0.5677,1.0473,0,2
276.298,1.8911,1.3132,0,3
107.778,0.374,0.415,0,2
135.335,0.6256,0.911,1,0
50.353,0.5411,0.9816,0,2
117.184,0.5139,0.3103,1,0
34.15,0.3768,0.2288,0,2
59.198,0.703,1.0332,1,0
78.679,0.5574,0.3106,1,0
105.874,0.3916,0.4571,0,2
117.478,1.0361,2.3661,0,3
51.191,0.4566,0.7571,1,0
165.321,1.3183,0.4526,1,1
79.762,0.4868,1.1156,0,2
884.664,3.3825,6.104,0,4
64.872,0.457,0.3288,0,2
53.422,0.5013,1.3978,0,2
51.863,0.499,1.0572,0,2
227.856,1.5135,4.7216,1,1
46.097,0.3863,0.3201,0,2
60.715,0.5577,1.0155,0,2
162.136,1.5154,3.1636,1,1
146.293,1.662,3.146,0,3
108.347,0.5612,0.9153,0,2
149.214,1.6241,3.2818,1,1
395.759,1.7402,3.4217,0,3
936.335,3.4025,2.5393,0,4
195.64,1.7284,3.1539,0,3
315.813,1.0623,0.8799,1,1
390.886,1.8295,4.0626,1,1
122.907,1.3357,2.4305,0,3
228.077,1.2348,3.4183,1,1
83.249,0.678,0.4003,0,2
49.465,0.5227,1.0136,1,0
142.779,1.1269,2.5549,1,1
105.797,0.592,1.1771,0,2
143.581,0.6162,1.0439,1,0
50.957,0.4883,0.9612,1,0
80.978,0.5631,0.8432,1,0
259.978,1.5188,2.8335,0,3
160.825,1.8271,3.1799,1,1
53.754,0.4177,0.8304,0,2
56.087,0.5962,1.3472,1,0
364.598,4.1562,6.5428,0,4
75.842,0.4894,0.9405,0,2
129.059,1.334,0.9496,0,3
462.178,1.7131,1.2829,0,3
123.756,0.498,0.4124,1,0
233.954,0.9355,1.9248,1,1
109.117,0.4306,0.113,1,0
61.502,0.5214,0.1855,1,0
93.142,0.5443,0.2358,0,2
54.725,0.4752,0.9486,1,0
79.885,0.5854,1.2102,1,0
49.198,0.5339,1.0414,0,2
364.9,1.5587,2.2609,0,3
69.881,0.5974,0.5086,0,2
61.284,0.5261,0.2834,1,0
127.875,0.5935,0.8671,1,0
437.394,1.9715,3.5269,0,3
72.789,0.5242,0.3254,1,0
113.664,0.4495,0.7198,0,2
259.701,1.0207,1.9975,1,1
353.987,2.3655,2.4029,0,4
128.526,0.6659,0.3846,1,0
173.946,1.7164,4.0945,1,1
60.018,0.6094,1.4374,1,0
59.372,0.4827,0.8574,0,2
342.472,1.4717,2.8729,1,1
207.49,1.3865,2.7936,1,1
182.219,1.171,0.9883,1,1
52.485,0.6413,0.8847,0,2
350.235,1.6238,2.9791,0,3
174.382,2.1281,3.986,1,1
83.625,0.5308,0.945,0,2
76.742,0.4797,0.3583,1,0
139.174,1.0853,0.7922,0,3
51.822,0.5009,0.287,1,0
402.466,3.7911,8.53,0,4
98.716,0.3837,0.2374,0,2
200.941,1.8183,4.0482,1,1
86.507,1.1716,1.1707,1,0
73.251,0.49,0.9948,1,0
99.688,0.4575,0.9332,0,2
292.473,3.3844,2.1432,0,4
44.224,0.5025,0.7988,1,0
126.638,0.7485,1.2115,1,0
115.827,0.699,0.3926,0,2
83.832,0.5903,1.054,0,2
65.918,0.6046,0.3421,0,2
60.993,0.5871,1.4341,0,2
60.107,0.5153,0.3112,1,0
435.484,1.8954,1.3273,1,1
119.031,1.3474,2.1358,0,3
117.001,0.5252,1.0259,1,0
53.689,0.4639,0.294,0,2
27.92,0.2888,0.5113,1,0
120.696,1.1214,2.6985,1,1
46.708,0.5367,1.0253,1,0
47.101,0.5064,1.3927,0,2
114.974,0.6405,0.9788,1,0
62.101,0.6103,0.47,0,2
48.385,0.5755,0.386,1,0
51.44,0.4533,0.6103,0,2
